id,label,comment
14387,neutral,we're moving away from dojo integration in struts2
14571,positive,yay! it should be really really easy (not including the test
14704,neutral,This has been committed in XWork and will be part of the XWork 2.1 release. See: http://jira.opensymphony.com/browse/XW-541
14849,neutral,Reporter asked for this to be closed.
14921,neutral,Makes sense to me.
15073,neutral,duplicate of WW-1598
15084,neutral,Hellow
15330,neutral,As of r438174 
15698,neutral,I believe this is an issue. I have an action saveAction which I want to chain to editAction whenever there is a validation error. This is often necessary because a JSP will be displayed which has dynamic content such as a selectable list of items. However
15793,neutral,This has been fixed in CVS. You can get the latest xwork.jar (which fixes the problem) from http://ivyrep.opensymphony.com
15801,negative,Given the dependencies
15893,neutral,You are only flushing the writer
16633,neutral,This was fixed by having all the items in the action chain having their properties copied over to the new action.
16677,neutral,Property editors may throw a PropertyException with a bundle key and this will then be localized in ActionSupport.
16908,positive,Thanks. The problem is with deferred node expansion
16927,neutral,I'll update the javadoc accordingly.
17369,neutral,Marking this issue as resolved. Reasons: - Not reproducible. - No feedback from reporter. - If there was a dependency issue
17727,neutral,Verified. I added the info to the RELEASE_NOTES file.
17895,neutral,Verified. I added the info to the RELEASE_NOTES file.
17964,neutral,Fixed.
18020,neutral,r563181 pom.xml
18037,neutral,r499213. The API changed as described in previous comments
18059,neutral,This was probably fixed by WODEN-86 which introduced support for the curly brace syntax in the http location template. This JIRA can now be closed.
18121,neutral,Resolved with no further action
18301,neutral,Issue is resolved. Closing per Bryant's approval to do so.
18707,neutral,Ah
18885,positive,Thanks Sven!
19423,neutral,Attached QuickStart. Access URL is https://localhost:8443/test/ajaxtest - click on the buttons several times - refresh page: the counters should now reflect the clicks - click on the buttons more times - refresh page: the counters do not reflect click after first refresh
19722,neutral,Just an idea: how about treating a jar as versioned resource? For example in my case that would work beautifully: my star rating component was in its own jar file
19905,negative,Bummer! -- The solution too this problem was that my JVM had too little memory (64MB) for allocating all the byte buffers required for writing / reading serialized pages.
19946,neutral,Is there any documentation such as 'getting started with swarm' available? If there is
20061,neutral,Fixed with r1097472.
20237,neutral,See my comment in WICKET-3093.
20258,neutral,By the way
20296,neutral,Integrated in Apache Wicket 1.4.x #436 (See [https://hudson.apache.org/hudson/job/Apache%20Wicket%201.4.x/436/]) ?•?ä?•?ä?•?ä?•?äWICKET-3413 FLAG_INHERITABLE_MODEL and default model change reset 'inherited model' flag if model changed and a new one is not IComponentInheritedModel
20625,neutral,Integrated in Apache Wicket 1.4.x #200 (See [https://hudson.apache.org/hudson/job/Apache%20Wicket%201.4.x/200/]) ?•?ä?•?ä?•?ä?•?ä
20729,negative,Sorry
20748,neutral,Integrated in Apache Wicket 1.4.x #58 (See [http://hudson.zones.apache.org/hudson/job/Apache%20Wicket%201.4.x/58/]) ?•?ä?•?ä?•?ä?•?ä
20803,neutral,this will be tackled when we improve ajax
20905,neutral,1.3.x is no longer maintained outside of security-related issues
20927,neutral,woops
20968,neutral,Integrated in Apache Wicket 1.5.x #54 (See [http://hudson.zones.apache.org/hudson/job/Apache%20Wicket%201.5.x/54/]) ?•?ä?•?ä?•?ä?•?ä
21128,positive,thanks
21977,neutral,How about my comment at the end? 'Also
22097,neutral,seems like all subtask as resolved
22447,neutral,A RangeValidator exists by now which looks very similar to yours.
22766,neutral,Fixed and I've tested it.
23248,neutral,Fixed in trunk (r555005).
23357,neutral,It is just resolved in 2.0 and the changes for 1.x have been committed at the same moment. The dot: you'll find that the xml parser is not a general purpose xml parser complying to all details of xml. It doesn't have to. It just implements what is sufficient for Wicket. If only if there is a real need to implement an additional detail
23492,neutral,behvaiors:ajax calls is not always 1:1. some behaviors are purely clientside. also
23562,neutral,Rolled back the change to Resource and included a FIXME that notes we don't cover all cases. But that doesn't lead to very serious problems anymore as it least the exception isn't thrown up in ComponentResourceRequestTarget anymore.
23785,neutral,I just put this in branch-0.8 too. In fact
23837,neutral,Closing since Whirr was updated to jclouds 1.5.0 in WHIRR-659.
24531,neutral,Changed the site to include the incubator disclaimer and incubator logo.
24867,neutral,Updated version of the patch. Removed the setter for the log storage provider in the stanza relay
24937,neutral,Committed in rev 983396
25612,negative,Sorry for the link 'block'
26184,neutral,patch applied.
26594,neutral,Close all resolved issues for Engine 1.5 release.
27430,positive,Looks solid. I'm okay with resolving this one.
27656,negative,We'll look at the issue for 1.1
27659,neutral,Closing as FIXED
27962,neutral,Code delivered to SVN.
28310,neutral,Change the element type of 'attributes' to FSAttribute.
28313,positive,Thanks for that comment Richard! I was laboring under the (false) impression that I could not change the docs that went with our previous releases
28338,neutral,added fixVersion
28741,neutral,documentation needs updating
28865,neutral,Fixed a prompt that asks user to enter either 's' or 'q'.
29014,positive,applied patch
29351,neutral,This issue is maybe related to UIMA-1408.
29492,neutral,I think this should be fixed/changed for uima-base too. Is there a reason it wasn't?
29936,positive,To test this
30705,neutral,Patch applied Eric.
31064,neutral,Closing resolved issues
31191,negative,Fixed. Sorry folks
31554,neutral,Dave has let me know that this has resoved the issue
31813,neutral,Closing because this has been in RESOLVED state for over one year
31936,neutral,Closing because this has been in RESOLVED state for over one year
32084,neutral,Closing because this has been in RESOLVED state for over one year
32125,neutral,This change is now in trunk as part of r679774.
32383,neutral,Closing because this has been in RESOLVED state for over one year
33026,neutral,Closing because this has been in RESOLVED state for over one year
33049,positive,This is now fixed!
33117,neutral,I've just made some observations on the tuscany-user mailing list which should appear in the mailing list archives shortly
33264,neutral,Assign to 1.0 during tidy up prior to 1.1
33497,neutral,Closing because this has been in RESOLVED state for over one year
33812,neutral,Here is a complete patch removing Composite* from the getImplementation() calls
33963,neutral,Assign to 1.0 during tidy up prior to 1.1
33984,neutral,reattaching with grant of license
34194,positive,Patch applied. Thanks!
34239,neutral,Fixed in revision 406707.
34559,neutral,Lazy session associated has been implemented in the TuscanyValve The spec people are still discussing Scope so I am going to close this and we can open a new issue when the spec clearly defines how scopes operate.
36048,neutral,Right now ET_CALL
36052,neutral,Moving these all to a 'Doc 3.x' release version.
36205,neutral,as for V2.1.4 and later
36622,neutral,Proposed patch.
36623,positive,Reviewed and tested. Looks good so far
36717,neutral,UIXListView also provides selection functionality through 'selectedRowKeys'
36911,neutral,This is on top of http://svn.apache.org/repos/asf/myfaces/trinidad/branches/2.0.0.1-branch
37179,neutral,Patch over 1.2.12.3 branch.
37251,neutral,This issue is already comitted
37398,neutral,More done: -absolute-ordering faces-config/factory/view-declaration-language-factory faces-config/render-kit/renderer/client-behavior-renderer faces-config/application/partial-traversal
37778,neutral,The call to launchDialog must supply a component for delivery of the returnListener event. This bug is invalid.
37860,neutral,Attention: - Please refer https://issues.apache.org/jira/browse/TRINIDAD-1145 for a possible fix
37992,neutral,The issue as described by (resolved) issue TRINIDAD-1171 occurs consistently in our environment using 1.2.10
38439,neutral,Appled patch with some changes to compile with the new public rendering API.
38592,neutral,in branch
38797,neutral,home page fixed in svn.
38950,positive,I've re-worked my code and the problem has now 'gone away'. The original code
39032,neutral,Reopening issues to set version.
40844,neutral,Looks like a user issue to me
41195,positive,Thanks to Hazem Saleh for provide us this enhancement fixed at revision 655653
41306,neutral,The above code is a part of a dataTable of course ...
41962,neutral,I have fixed that issue by checking for a null before the line 95 of HtmlInputTextRenderer: writer.writeAttribute(HTML.VALUE_ATTR
42086,positive,Thanks to Simon Kitching.
42670,neutral,add separate handling for webkit browser
43512,neutral,I think you have enable ajax. f:loadBundle has only request scope. If you request the table sort the ajax response didn't know anything about the resource bundle. Please use tc:loadBundle it has session scope. But tc:loadBundle has a different semantic. Please consult the demo or other examples how to use it.
43983,neutral,Closed due to the release of Tiles 2.1.1
44105,neutral,Closed due to the release of Tiles 2.1.0.
44952,positive,As suggested above
44965,neutral,TagSoup 1.2.1 is finally available
45050,neutral,Actually I think I already applied similar changes when doing the POI 3.6 upgrade in TIKA-353. Resolving as fixed.
45473,neutral,Integrated in Thrift #633 (See https://builds.apache.org/job/Thrift/633/) THRIFT-1879 Add support for GObject-Introspection (Revision a51186b7f2bd388d95485404017f05eb3b861074) Result = ABORTED roger : https://git-wip-us.apache.org/repos/asf?p=thrift.git&a=commit&h=a51186b7f2bd388d95485404017f05eb3b861074 Files : lib/c_glib/src/thrift/c_glib/transport/thrift_transport.h lib/c_glib/src/thrift/c_glib/server/thrift_simple_server.h lib/c_glib/src/thrift/c_glib/transport/thrift_buffered_transport.h lib/c_glib/src/thrift/c_glib/transport/thrift_framed_transport.h lib/c_glib/src/thrift/c_glib/protocol/thrift_protocol_factory.h lib/c_glib/src/thrift/c_glib/protocol/thrift_binary_protocol_factory.h lib/c_glib/src/thrift/c_glib/transport/thrift_server_socket.h lib/c_glib/src/thrift/c_glib/protocol/thrift_binary_protocol.h lib/c_glib/src/thrift/c_glib/server/thrift_server.h lib/c_glib/src/thrift/c_glib/transport/thrift_transport_factory.h lib/c_glib/src/thrift/c_glib/transport/thrift_server_transport.h lib/c_glib/src/thrift/c_glib/thrift_application_exception.h lib/c_glib/src/thrift/c_glib/transport/thrift_memory_buffer.h lib/c_glib/src/thrift/c_glib/transport/thrift_socket.h lib/c_glib/src/thrift/c_glib/protocol/thrift_protocol.h lib/c_glib/src/thrift/c_glib/thrift_struct.h
45651,neutral,Integrated in Thrift #533 (See https://builds.apache.org/job/Thrift/533/) Thrift-1701:node.js TBufferedTransport buffer corruption Patch: Marshall Roch fix buffer copy method calls (Revision 1389517) Result = SUCCESS
45835,neutral,Integrated in Thrift #407 (See https://builds.apache.org/job/Thrift/407/) THRIFT-1517 TTransport.ReadAll() should set exception type to EndOfFile Patch: Stefan Gmeiner (Revision 1291039) Result = SUCCESS roger : http://svn.apache.org/viewvc/?view=rev&rev=1291039 Files : /thrift/trunk/lib/csharp/src/Transport/TTransport.cs
45877,neutral,Integrated in Thrift #426 (See https://builds.apache.org/job/Thrift/426/) THRIFT-1532/ THRIFT-1475 - fix record generation for erlang (Revision 1303663) Result = SUCCESS molinaro : http://svn.apache.org/viewvc/?view=rev&rev=1303663 Files : /thrift/trunk/compiler/cpp/src/generate/t_erl_generator.cc /thrift/trunk/lib/erl/Makefile.am /thrift/trunk/lib/erl/test/Thrift1475.thrift
46068,neutral,Integrated in Thrift #230 (See https://builds.apache.org/job/Thrift/230/) THRIFT-1284. cpp: fix processor inheritance Don't make processors that have a proper parent class also inherit from TProcessor. Patch: Adam Simpkins bryanduxbury : http://svn.apache.org/viewvc/?view=rev&rev=1160933 Files : /thrift/trunk/compiler/cpp/src/generate/t_cpp_generator.cc
46121,neutral,#NOME?
46218,neutral,was introduced with THRIFT-1267
46309,neutral,committed
46878,neutral,Bryan
46942,neutral,Second shot at this one
46997,positive,Ah
47248,neutral,In r681863
47855,positive,Great! I'm glad you found it helpful.
48034,neutral,Very curious as to where you saw that exception. Because digging through my log files
48151,neutral,Duplicate of TAPESTRY-1988.
48779,positive,Thanks for the issue / steps to resolve. Pretty much did what you said verbatim. (as it worked out on the other regexp issue)
49357,neutral,patches applied
49361,neutral,Much cleared exception now .... org.apache.hivemind.ApplicationRuntimeException Component BadInjectComponent/border is not assignable to type org.apache.tapestry.html.Body. location: Annotation @org.apache.tapestry.annotations.InjectComponent(value=border) of public abstract org.apache.tapestry.html.Body pages.BadInjectComponent.getBorder() Stack Trace: ?•?ä?•?ä?•?ä?•?ä* org.apache.tapestry.TapestryUtils.getComponent(TapestryUtils.java:301) ?•?ä?•?ä?•?ä?•?ä* $BadInjectComponent_0.finishLoad($BadInjectComponent_0.java) ?•?ä?•?ä?•?ä?•?ä* org.apache.tapestry.pageload.PageLoader.constructComponent(PageLoader.java:470) ?•?ä?•?ä?•?ä?•?ä* org.apache.tapestry.pageload.PageLoader.loadPage(PageLoader.java:639) ?•?ä?•?ä?•?ä?•?ä* $IPageLoader_1066542252f.loadPage($IPageLoader_1066542252f.java) ?•?ä?•?ä?•?ä?•?ä* $IPageLoader_10665422530.loadPage($IPageLoader_10665422530.java) ?•?ä?•?ä?•?ä?•?ä* org.apache.tapestry.pageload.PageSource.getPage(PageSource.java:118)
49721,neutral,It's actually been in there (in jakarta.apache.org/tapestry/current and in CVS) for a while.
49893,positive,Fixed - thanks!
50449,neutral,Does not occurs on Firefox or Curl. Probably a Chrome problem.
50490,neutral,Integrated in tapestry-trunk-freestyle #515 (See [https://builds.apache.org/job/tapestry-trunk-freestyle/515/]) ?•?ä?•?ä?•?ä?•?äTAP5-1621 - Fixed test joshcanfield : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1167447 Files : * /tapestry/tapestry5/trunk/tapestry-ioc/src/test/java/org/apache/tapestry5/ioc/internal/services/TypeCoercerImplTest.java
50889,neutral,Seems like this has all been done.
51981,positive,Thanks for the sample app
52309,neutral,Integrated in Syncope-ROLE_PROVISIONING #4 (See [https://builds.apache.org/job/Syncope-ROLE_PROVISIONING/4/]) ?•?ä?•?ä?•?ä?•?ä[SYNCOPE-173][SYNCOPE-219] (Additional) Moving some classes to new packages as preparation for role-related workflow classes (Revision 1408258) [SYNCOPE-173][SYNCOPE-219] Moving some classes to new packages as preparation for role-related workflow classes (Revision 1408249) ?•?ä?•?ä?•?ä?•?ä?•?äResult = SUCCESS ilgrosso : Files : * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/init/ContentLoader.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/init/SpringContextInitializer.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/policy/AccountPolicyEnforcer.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/rest/controller/UserController.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/rest/controller/WorkflowController.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/sync/SyncopeSyncResultHanlder.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/resources/workflow.properties * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/resources/workflowContext.xml * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/test/resources/noopworkflow/workflow.properties * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/test/resources/noopworkflow/workflowContext.xml * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/test/resources/workflow.properties ilgrosso : Files : * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/init/ActivitiWorkflowLoader.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/init/SpringContextInitializer.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/policy/AccountPolicyEnforcer.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/rest/controller/UserController.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/rest/controller/WorkflowController.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/sync/SyncopeSyncResultHanlder.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/AbstractUserWorkflowAdapter.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/ActivitiUserWorkflowAdapter.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/NoOpUserWorkflowAdapter.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/UserWorkflowAdapter.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/activiti * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/role * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/AbstractUserWorkflowAdapter.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/NoOpUserWorkflowAdapter.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/UserWorkflowAdapter.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/ActivitiUserWorkflowAdapter.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/ActivitiWorkflowLoader.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/SyncopeEntitiesVariableType.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/SyncopeGroupManager.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/SyncopeGroupQueryImpl.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/SyncopeSession.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/SyncopeSessionFactory.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/SyncopeUserManager.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/SyncopeUserQueryImpl.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task/AbstractActivitiDelegate.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task/AutoActivate.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task/Create.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task/Delete.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task/GenerateToken.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task/Reactivate.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task/Suspend.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task/Update.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/resources/userWorkflow.bpmn20.xml * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/resources/workflow.properties * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/resources/workflowContext.xml * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/test/resources/workflow.properties
52597,positive,thanks Malith for your contribution...patch committed under rev. 1326522
52716,neutral,Fixed in the trunk and branch
53257,positive,Thanks for the patch
53284,neutral,Resolved in Version 1.2_QA_B1 . Therefore will be closing the issue
53882,positive,Fixed in both the current trunk and 1.2.x branch
54763,neutral,Fixed.
56246,neutral,Fixed in nightly build 20010612. Will be fixed in Struts 1.0 final.
56598,neutral,Each instance in SQL Server gets its own port number. As long as the port number for the SQLExpress instance is accurate it should work okay.
57081,neutral,Closing as fixed.
57099,neutral,After the changes the error no longer appears in nightly build results. Closing as Fixed.
57161,neutral,The tests have been added
57316,neutral,Fixed with the referenced change.
57398,neutral,Marking as Resolved in 4.2.0 _x0089_?õ?í I couldn't reproduce it even there. Will close once we create a regression test
58251,neutral,All third party repos are removed for released artifacts. The only exception is the metaxa engine which will be excluded from the release.
58473,neutral,rules/
58484,neutral,Build on Windows looks also okay but there are still other problem loading the model data for the entity hub.
58537,neutral,Looks like STANBOL-258 describes the same Issue.
58715,neutral,Fixed in revision 1073288
58727,neutral,Example RequestDocumentor output for the StatelessEngineTest
